gvkey,datadate,tic,AP,AT,BV,COGS,EMP,IBE,OCF,PPE,REC,SALE,XOPR,MV,2_digit_sic
30293,20121231,ESS,64.858,4847.223,,,1.144,115.845,,0,,631.296,,5344.366,67
30293,20131231,ESS,67.183,5186.839,1810.762,395.113,1.173,126.796,304.982,,68.255,681.201,420.714,5370.2877,67
30293,20131231,ESS,67.183,5186.839,,,1.173,126.796,,0,,699.19,,5370.2877,67
30293,20141231,ESS,142.135,11562.874,5948.872,669.934,1.725,122.15,492.983,,24.923,1021.009,712.69,,67
30293,20141231,ESS,142.135,11562.874,,,1.725,122.15,,0,,1089.558,,,67
30293,20151231,ESS,131.415,12005.091,6163.933,816.931,1.806,232.12,617.41,,19.285,1229.387,859.435,15652.3864,67
30293,20151231,ESS,131.415,12005.091,,,1.806,232.12,,0,,1297.946,,15652.3864,67
30293,20161231,ESS,138.226,12217.408,6192.178,830.609,1.799,414.979,712.523,,40.97,1365.414,873.201,15235.26,67
30293,20161231,ESS,138.226,12217.408,,,1.799,414.979,,0,,1544.177,,15235.26,67
30298,20121231,HIW,171.886,3350.428,1131.063,343.503,0.415,47.672,193.416,,165.537,528.49,381.129,2686.403,67
30298,20121231,HIW,171.886,3350.428,,,0.415,47.672,,0,,529.965,,2686.403,67
30298,20131231,HIW,218.669,3807.101,1448.223,380.301,0.426,59.589,256.462,,178.853,565.671,417.494,,67
30298,20131231,HIW,218.669,3807.101,,,0.426,59.589,,0,,568.399,,,67
30298,20141231,HIW,237.471,4004.909,1495.151,422.115,0.432,110.592,266.911,,203.71,615.734,458.338,4113.922,67
30298,20141231,HIW,237.471,4004.909,,,0.432,110.592,,0,,665.396,,4113.922,67
30298,20151231,HIW,233.988,4493.432,1572.257,417.859,0.447,81.814,288.879,,181.565,611.718,455.501,,67
30298,20151231,HIW,233.988,4493.432,,,0.447,81.814,,0,,634.205,,,67
30298,20161231,HIW,313.885,4561.05,2107.435,451.225,0.438,117.962,305.805,,199.034,673.765,489.378,5185.9827,67
30298,20161231,HIW,313.885,4561.05,,,0.438,117.962,,0,,696.774,,5185.9827,67
30312,20121231,IMAX,15.144,421.872,253.079,115.673,0.526,41.337,73.63,195.164,136.2,284.29,209.168,1494.5154,38
30312,20131231,IMAX,19.396,481.145,319.585,105.853,0.541,44.424,55.033,225.337,180.184,287.937,205.923,1999.9527,38
30312,20141231,IMAX,26.145,621.533,382.775,98.113,0.6,39.381,86.605,290.436,181.751,290.541,208.387,2131.7292,38
30312,20151231,IMAX,23.455,931.02,623.891,131.718,0.646,55.844,83.685,328.244,215.212,373.805,260.545,2476.1784,38
30312,20161231,IMAX,19.99,857.334,562.012,147.954,0.703,28.788,77.872,378.203,218.474,377.334,289.968,2077.424,38
30339,20121231,GRMC,0.409,1.664,0.48,0,0.002,-1.848,-0.991,2.71,0.325,0,1.18,9.5507,10
30339,20131231,GRMC,0.632,1.063,-1.393,0,0.002,-1.94,-0.91,2.691,0,0,1.542,5.5194,10
30339,20141231,GRMC,0.347,1.187,-1.791,0,0.002,-1.953,-1.533,2.689,0,0,1.72,5.0307,10
30339,20151231,GRMC,0.317,0.851,-1.394,0,0.002,0.05,-1.606,2.689,0,0,0.671,2.769,10
30339,20161231,GRMC,0.556,0.791,-2.127,0,0.002,-0.733,-0.486,2.733,0.011,0,0.714,3.937,10
30354,20121231,LPT,31.058,5177.971,2091.012,379.117,0.433,123.945,317.166,,117.616,694.16,443.847,4240.0771,67
30354,20121231,LPT,31.058,5177.971,,,0.433,123.945,,0,,708.183,,4240.0771,67
30354,20131231,LPT,70.406,6775.56,3035.844,368.319,0.453,91.274,315.965,,113.856,661.876,442.883,,67
30354,20131231,LPT,70.406,6775.56,,,0.453,91.274,,0,,680.152,,,67
30354,20141231,LPT,52.043,6625.536,3027.672,471.881,0.431,170.471,336.484,,123.39,820.614,535.208,5590.1999,67
30354,20141231,LPT,52.043,6625.536,,,0.431,170.471,,0,,878.844,,5590.1999,67
30354,20151231,LPT,51.382,6557.629,2952.928,482.931,0.384,238.039,385.366,,133.13,834.785,551.641,4582.2969,67
30354,20151231,LPT,51.382,6557.629,,,0.384,238.039,,0,,948.65,,4582.2969,67
